obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
217, 223.9, 174629, 53171, 13440, 10935, 9459, 11166, 6313, 2488, 56, 53, NA, 281601,  X
218, 224.9, 108226, 20750, 6485, 507, 2473, 1339, 1275, 633, 50, 41, NA, 141688,  X
219, 226.1, 260062, 51334, 23382, 54876, 11352, 16146, 17613, 18936, 54, 43, NA, 453701,  X
220, 226.9, 108808, 4045, 3198, 8046, 5745, 3319, 2559, 1913, 69, 54, NA, 137633,  X
221, 228.0, 80305, 49361, 22165, 163086, 40075, 17308, 8417, 4654, 63, 75, NA, 385371,  X
222, 228.9, 1057040, 17575, 22858, 77844, 22634, 33987, 4823, 5746, 87, 91, NA, 1242507,  X
223, 230.0, 169392, 53703, 23113, 16691, 10927, 3391, 1346, 2722, 69, 83, NA, 281285,  X
224, 231.0, 52528, 23622, 20255, 52935, 7433, 11564, 1753, 8248, 63, 91, NA, 178338,  X
225, 231.9, 1959633, 84547, 44591, 56201, 127477, 63571, 7725, 6736, 83, 74, NA, 2350481,  X
226, 232.9, 1767323, 117145, 43787, 101180, 20924, 29893, 5106, 7102, 70, 67, NA, 2092460,  X
227, 233.9, 41645, 1645, 1078, 4637, 2365, 750, 316, 415, 83, 78, NA, 52851,  X
228, 234.9, 1113249, 101026, 13127, 9271, 30349, 26666, 6330, 2452, 90, 50, NA, 1302470,  X
229, 235.9, 86368, 111364, 43160, 26970, 13456, 8999, 4402, 1693, 64, 53, NA, 296412,  X
230, 237.0, 79677, 101223, 2005, 11197, 24782, 4983, 3959, 1332, 53, 27, NA, 229158,  X
231, 237.9, 1202155, 74466, 56656, 74640, 25688, 9061, 8932, 5918, 43, 29, NA, 1457516,  X
232, 239.9, 1229656, 259377, 75167, 87533, 75440, 19004, 5204, 3491, 24, 43, NA, 1754872,  X
233, 241.0, 24773, 46400, 3789, 88986, 6929, 10641, 1863, 2092, 27, 80, NA, 185473,  X
234, 241.9, 712766, 59415, 11521, 22165, 4776, 6044, 1489, 1004, 34, 69, NA, 819180,  X
235, 243.0, 77810, 89080, 4769, 28449, 19397, 8851, 705, 609, 38, 64, NA, 229670,  X
236, 244.1, 193498, 61800, 18284, 41470, 11742, 5626, 2946, 2471, 40, 63, NA, 337837,  X
237, 244.9, 916119, 74460, 13242, 33931, 40472, 11590, 2696, 3188, 43, 48, NA, 1095698,  X
238, 246.0, 123092, 19168, 29419, 24674, 25768, 3799, 2563, 1242, 41, 57, NA, 229725,  X
239, 246.9, 736755, 54562, 108309, 9199, 18707, 12062, 3655, 3089, 40, 75, NA, 946338,  X
240, 247.9, 179577, 249077, 69369, 68873, 33032, 4864, 2745, 3083, 24, 69, NA, 610620,  X
241, 248.9, 278431, 43846, 6403, 2195, 2370, 2392, 627, 260, 17, 63, NA, 336524,  X
